"parameter","x_correlation","y_correlation","true_value","mean_estimate","sd_estimate","bias","rmse","coverage"
"beta_x3",0.6,0.2,0.06,0.00438597755225091,0.0416191001040622,-0.0556140224477491,0.0682045015885572,0.3
"beta_x3",0.6,0.4,0.06,0.031854492598567,0.0558226266509863,-0.028145507401433,0.0599726493368267,0.5
"beta_x3",0.6,0.6,0.06,0.0546157240083087,0.0803185973083027,-0.00538427599169128,0.0763869085260732,0.7
"beta_x3",0.6,0.8,0.06,-0.00349284338281388,0.0527800061991392,-0.0634928433828139,0.0808609751968005,0.4
"beta_x3",0.8,0.2,0.06,-0.0183904326496685,0.0598283402502184,-0.0783904326496685,0.0967809237318415,0.3
"beta_x3",0.8,0.4,0.06,0.0384924544551437,0.0819361330521766,-0.0215075455448563,0.0806520391865801,0.3
"beta_x3",0.8,0.6,0.06,-0.0184504411277535,0.0431501646489701,-0.0784504411277535,0.0884885006735283,0.2
"beta_x3",0.8,0.8,0.06,0.035460019942184,0.0655068780003096,-0.024539980057816,0.0668150176236653,0.3
"beta_y1",0.2,0.2,0.04,0.0532432130808567,0.0476024737194594,0.0132432130808567,0.0470614348112721,0.4
"beta_y1",0.2,0.4,0.04,0.0279517760149451,0.0582953180516373,-0.0120482239850549,0.056600966398653,0.6
"beta_y1",0.2,0.6,0.04,0.0118337862774147,0.0620219070271194,-0.0281662137225853,0.0652332802457375,0.4
"beta_y1",0.2,0.8,0.04,-0.0130832765623868,0.0733568101896785,-0.0530832765623868,0.0875267598605301,0.7
"beta_y1",0.4,0.2,0.04,0.101057233164606,0.128861228511155,0.0610572331646061,0.136648016135547,0.2
"beta_y1",0.4,0.4,0.04,0.00586646700238432,0.0482400239312855,-0.0341335329976157,0.05709192581181,0.5
"beta_y1",0.4,0.6,0.04,0.0428981020011845,0.0758647536642963,0.00289810200118452,0.0720299504296595,0.7
"beta_y1",0.4,0.8,0.04,-0.000463128341093427,0.103513135978745,-0.0404631283410934,0.106210814624907,0.4
"beta_y1",0.6,0.2,0.04,0.0234415887109839,0.102357107603357,-0.0165584112890161,0.0985061455628477,0.7
"beta_y1",0.6,0.4,0.04,0.0530617766515392,0.0829420982438505,0.0130617766515392,0.0797625382261496,0.4
"beta_y1",0.6,0.6,0.04,0.0210194284351283,0.0825556926738061,-0.0189805715648717,0.080586352755885,0.7
"beta_y1",0.6,0.8,0.04,0.0364094450273229,0.130494217952608,-0.00359055497267716,0.123849743286647,0.3
"beta_y1",0.8,0.2,0.04,0.046111184498836,0.0520096464174065,0.00611118449883597,0.0497176987037423,0.8
"beta_y1",0.8,0.4,0.04,0.05615290900334,0.0919945068739464,0.01615290900334,0.0887558833810621,0.5
"beta_y1",0.8,0.6,0.04,0.0518040630682613,0.0553286403039777,0.0118040630682613,0.0538002648601077,0.5
"beta_y1",0.8,0.8,0.04,0.0138714533382368,0.0557819085342926,-0.0261285466617632,0.0590183034186116,0.5
"beta_y2",0.2,0.2,0.01,0.00052415380779475,0.0791264175186845,-0.00947584619220525,0.0756616323869991,0.7
"beta_y2",0.2,0.4,0.01,-0.00250867492959946,0.0650051419998814,-0.0125086749295995,0.0629251029897978,0.6
"beta_y2",0.2,0.6,0.01,-0.0027232394466736,0.0880735461018217,-0.0127232394466736,0.0845170716049256,0.3
"beta_y2",0.2,0.8,0.01,0.0391762868184306,0.0639423357145116,0.0291762868184306,0.0673128203203216,0.3
"beta_y2",0.4,0.2,0.01,0.0264765227806535,0.0624961238666702,0.0164765227806535,0.0615358818208024,0.5
"beta_y2",0.4,0.4,0.01,0.0424978348870511,0.0606039044767082,0.0324978348870511,0.0660428587084615,0.6
"beta_y2",0.4,0.6,0.01,0.0155088237417643,0.0658502413449504,0.00550882374176428,0.0627134435004746,0.6
"beta_y2",0.4,0.8,0.01,-0.0172157687938212,0.0755749125752234,-0.0272157687938212,0.0766883872611501,0.7
"beta_y2",0.6,0.2,0.01,0.0251005043181833,0.0683370329039293,0.0151005043181833,0.0665656089145507,0.7
"beta_y2",0.6,0.4,0.01,-0.00275699754109218,0.0776292852986376,-0.0127569975410922,0.0747423329087538,0.8
"beta_y2",0.6,0.6,0.01,0.0121573960557682,0.0747661586504578,0.00215739605576815,0.0709622081755657,0.5
"beta_y2",0.6,0.8,0.01,0.0521121463791766,0.098358996577033,0.0421121463791766,0.102374195281516,0.5
"beta_y2",0.8,0.2,0.01,-0.00574865766667871,0.0618289052146309,-0.0157486576666787,0.0607334536012738,0.5
"beta_y2",0.8,0.4,0.01,0.0520330854824349,0.088105633397102,0.0420330854824349,0.0935581244352823,0.5
"beta_y2",0.8,0.6,0.01,0.00566827788334307,0.0511277268581049,-0.00433172211665692,0.0486970617676797,0.7
"beta_y2",0.8,0.8,0.01,-0.0328867704811279,0.122954540124745,-0.0428867704811279,0.124279170120579,0.4
"beta_y3",0.2,0.2,-0.05,-0.0412281638472129,0.0409913369988562,0.00877183615278713,0.0398648447576278,0.7
"beta_y3",0.2,0.4,-0.05,0.0508808257405397,0.165917015337026,0.10088082574054,0.186956014566543,0.4
"beta_y3",0.2,0.6,-0.05,0.000129113359683141,0.0788911217851385,0.0501291133596831,0.0900797213200272,0.5
